Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 12 2011,2455785.999988430,334843201,16.75,3.34E-08,1.32E-08
Aug 19 2011,2455792.999988430,335448001,29.7,3.76E-08,1.4E-08
Aug 26 2011,2455799.999988430,336052801,14.44,2.02E-08,1.07E-08
Sep 02 2011,2455806.999988430,336657601,5.99,1.9E-08,1.1E-08
Sep 09 2011,2455813.999988430,337262401,45.73,4.84E-08,1.57E-08
Sep 16 2011,2455820.999988430,337867201,38.24,3.96E-08,1.38E-08
Sep 23 2011,2455827.999988430,338472001,30.2,3.53E-08,1.24E-08
Sep 30 2011,2455834.999988430,339076801,47.61,3.1E-08,1.07E-08
Oct 07 2011,2455841.999988430,339681601,73.46,7.02E-08,1.74E-08
Oct 14 2011,2455848.999988430,340286401,28.27,3.3E-08,1.31E-08
Oct 21 2011,2455855.999988430,340891201,79.34,6.32E-08,1.65E-08
Oct 28 2011,2455862.999988430,341496001,33.26,3.35E-08,1.27E-08
Nov 04 2011,2455869.999988430,342100801,51.94,6.21E-08,1.69E-08
Nov 11 2011,2455876.999988430,342705601,118.48,7.54E-08,1.68E-08
Nov 18 2011,2455883.999988430,343310401,76.83,4.27E-08,1.21E-08
Nov 25 2011,2455890.999988430,343915201,21.28,2.38E-08,1.03E-08
Dec 02 2011,2455897.999988430,344520001,56.69,4.09E-08,1.25E-08
Dec 09 2011,2455904.999988430,345124801,29.98,3.4E-08,1.27E-08
Dec 16 2011,2455911.999988430,345729601,45.18,4.44E-08,1.53E-08
Dec 23 2011,2455918.999988430,346334401,54.74,4.24E-08,1.42E-08
Dec 30 2011,2455925.999988430,346939201,128.56,6.75E-08,1.51E-08
Jan 06 2012,2455932.999988430,347544001,57.38,2.93E-08,1.01E-08
Jan 13 2012,2455939.999988430,348148801,43.92,3.6E-08,1.12E-08
Jan 20 2012,2455946.999988430,348753601,61,4.82E-08,1.28E-08
Jan 27 2012,2455953.999988430,349358401,40.54,3.9E-08,1.27E-08
Feb 03 2012,2455960.999988430,349963201,54.25,4.59E-08,1.36E-08
Feb 10 2012,2455967.999988430,350568001,38.11,3.23E-08,1.11E-08
Feb 17 2012,2455974.999988430,351172801,31.52,3.08E-08,1.19E-08
Feb 24 2012,2455981.999988430,351777601,36.26,3.96E-08,1.26E-08
Mar 02 2012,2455988.999988430,352382401,77.59,3.98E-08,1.11E-08
Mar 09 2012,2455995.999988430,352987201,68.12,4.98E-08,1.37E-08
Mar 16 2012,2456002.999988430,353592001,60.5,4.56E-08,1.34E-08
Mar 23 2012,2456009.999988430,354196801,29.35,3.07E-08,1.18E-08
Mar 30 2012,2456016.999988430,354801601,99.77,5.48E-08,1.46E-08
Apr 06 2012,2456023.999988430,355406401,40.98,4.1E-08,1.31E-08
